frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
469,Exit Zone,2,319,7.975,1.0,1.0,0.1566,0.497,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4027,19.0,CRITICAL
481,Entry Zone,0,50,1.25,0.1786,0.8973,0.17,0.3464,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.3319,4.2,STRAINED
481,Central Zone,1,605,10.083,1.0,0.8973,0.17,0.5264,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4035,23.3,STRAINED
481,Exit Zone,2,293,7.325,1.0,0.8973,0.17,0.5264,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4035,23.3,STRAINED
493,Entry Zone,0,27,0.675,0.0964,0.6944,0.2828,0.3162,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.3022,4.4,STRAINED
493,Central Zone,1,628,10.467,1.0,0.6944,0.2828,0.6546,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4392,32.9,STRAINED
493,Exit Zone,2,293,7.325,1.0,0.6944,0.2828,0.6546,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4392,32.9,STRAINED
505,Entry Zone,0,43,1.075,0.1536,0.8223,0.2176,0.339,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.3245,4.3,STRAINED
505,Central Zone,1,614,10.233,1.0,0.8223,0.2176,0.5671,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4163,26.6,STRAINED
505,Exit Zone,2,263,6.575,0.9393,0.8223,0.2176,0.5358,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4048,24.4,STRAINED
517,Entry Zone,0,23,0.575,0.0821,1.0,0.1753,0.3621,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2297,36.6,CRITICAL
517,Central Zone,1,607,10.117,1.0,1.0,0.1753,0.5026,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.4077,18.9,CRITICAL
517,Exit Zone,2,308,7.7,1.0,1.0,0.1753,0.5026,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.4077,18.9,CRITICAL
529,Entry Zone,0,65,1.625,0.2321,0.4594,0.1,0.2488,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.2399,3.6,CRITICAL
529,Central Zone,1,644,10.733,1.0,0.4594,0.1,0.8646,DANGER,DENSITY,Gate-2:OPEN[HIGH] | Gate-3:OPEN[MEDIUM],0.4294,50.3,CRITICAL
529,Exit Zone,2,315,7.875,1.0,0.4594,0.1,0.8646,DANGER,DENSITY,Gate-3:OPEN[HIGH] | Gate-4:OPEN[MEDIUM],0.4294,50.3,CRITICAL
541,Entry Zone,0,36,0.9,0.1286,0.9003,0.0754,0.3117,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.2982,4.3,STRAINED
541,Central Zone,1,713,11.883,1.0,0.9003,0.0754,0.4971,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.378,24.0,STRAINED
541,Exit Zone,2,342,8.55,1.0,0.9003,0.0754,0.4971,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.378,24.0,STRAINED
553,Entry Zone,0,34,0.85,0.1214,0.5761,0.0503,0.2236,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.2146,4.0,STRAINED
